ID,training_state,condition_increase,condition_decline,condition_recovery_up,condition_recovery_down,training_increase,training_decline,mental_increase,mental_decline
string,bool,int,int,int,int,float,float,int,int
exam_effect,TRUE,3,0,0,4,0,6,0,1
vacation_effect,FALSE,0,0,0,0,0,0,0,0
holiday_effect,TRUE,0,4,5,0,9,0,0,0
samiljeol_effect,TRUE,0,0,4,0,7,0,0,0
children_effect,TRUE,0,0,0,3,7,0,6,0
buddha_effect,TRUE,0,3,3,0,7,0,0,0
memorial_effect,TRUE,0,3,3,0,9,0,0,0
liberation_effect,TRUE,0,3,3,0,7,0,6,0
chuseok_effect,TRUE,0,2,4,0,0,0,0,0
national_effect,TRUE,0,2,0,3,9,0,0,0
hangul_effect,TRUE,0,3,3,0,7,0,0,0
christmas_effect,TRUE,0,3,4,0,10,0,0,0
festival_effect,FALSE,0,0,10,0,0,0,8,0
sportsday_effect,FALSE,0,0,5,0,0,0,0,0
