id,tier_id,name,unlock_cost,description,effect_id,비고
int,int,string,int,string,int,
101,6001,슈팅 강화 I,15,팀 전체의 슈팅을 1 상승시킵니다.,1001,
102,6001,슈팅 드릴 훈련 효율,15,"슈팅 드릴 훈련 시 컨디션 소모가
5% 감소합니다.",1002,
201,6001,수비 강화 I,15,팀 전체의 점프력을 1 상승시킵니다.,2001,
202,6001,디펜스 워크 훈련 효율,15,"디펜스 워크 훈련 시 컨디션 소모가
5% 감소합니다.",2002,
301,6001,명성치 획득량 증가,15,"경기 후 획득하는 명성치가 
10% 증가합니다.",3002,
302,6001,시설 업그레이드 비용 감소,15,"시설 업그레이드하는 비용이
5% 감소합니다.",3001,
501,6001,2티어 승급 노드,0,모든 능력치를 1 상승시킵니다.,5001,조건 달성 시 활성화. 모든 능력치 +1 및 2티어 개방
103,6002,슈팅 강화 Ⅱ,25,팀 전체의 슈팅을 1 상승시킵니다.,1001,
104,6002,슈팅 강화 Ⅲ,25,팀 전체의 슈팅을 1 상승시킵니다.,1001,
203,6002,수비 강화 Ⅱ,25,팀 전체의 점프력을 1 상승시킵니다.,2001,
204,6002,수비 강화 Ⅲ,25,팀 전체의 점프력을 1 상승시킵니다.,2001,
303,6002,단체 훈련 효율,25,"모든 단체 훈련 시 컨디션 소모가
3% 감소합니다.",3003,
401,6002,선물 기능 해금,25,"학생들에게 선물을 줄 수 있는 
기능이 해금됩니다.",4001,
