day,mental,shoot,speed,jump,condition
int,int,int,int,int,int
1,45,45,40,45,45
2,45,45,40,45,45
3,45,45,40,45,45
4,45,45,40,45,45
5,45,45,40,45,45
6,45,45,40,45,45
7,45,45,40,45,45
8,45,45,40,45,45
9,46,46,40,46,46
10,46,46,40,46,46
11,46,46,41,46,46
12,46,46,41,46,46
13,46,46,41,46,46
14,46,46,41,46,46
15,46,46,41,46,46
16,46,46,41,46,46
17,47,47,41,47,47
18,47,47,41,47,47
19,47,47,41,47,47
20,47,47,41,47,47
21,47,47,42,47,47
22,47,47,42,47,47
23,47,47,42,47,47
24,47,47,42,47,47
25,48,48,42,48,48
26,48,48,42,48,48
27,48,48,42,48,48
28,48,48,42,48,48
29,48,48,42,48,48
30,48,48,42,48,48
31,48,48,43,48,48
32,48,48,43,48,48
33,49,49,43,49,49
34,49,49,43,49,49
35,49,49,43,49,49
36,49,49,43,49,49
37,49,49,43,49,49
38,49,49,43,49,49
39,49,49,43,49,49
40,49,49,43,49,49
41,50,50,44,50,50
42,50,50,44,50,50
43,50,50,44,50,50
44,50,50,44,50,50
45,50,50,44,50,50
46,50,50,44,50,50
47,50,50,44,50,50
48,50,50,44,50,50
49,50,50,44,50,50
50,51,51,44,51,51
51,51,51,45,51,51
52,51,51,45,51,51
53,51,51,45,51,51
54,51,51,45,51,51
55,51,51,45,51,51
56,51,51,45,51,51
57,51,51,45,51,51
58,52,52,45,52,52
59,52,52,45,52,52
60,52,52,45,52,52
61,52,52,46,52,52
62,52,52,46,52,52
63,52,52,46,52,52
64,52,52,46,52,52
65,52,52,46,52,52
66,53,53,46,53,53
67,53,53,46,53,53
68,53,53,46,53,53
69,53,53,46,53,53
70,53,53,46,53,53
71,53,53,47,53,53
72,53,53,47,53,53
73,53,53,47,53,53
74,54,54,47,54,54
75,54,54,47,54,54
76,54,54,47,54,54
77,54,54,47,54,54
78,54,54,47,54,54
79,54,54,47,54,54
80,54,54,47,54,54
81,54,54,48,54,54
82,55,55,48,55,55
83,55,55,48,55,55
84,55,55,48,55,55
85,55,55,48,55,55
86,55,55,48,55,55
87,55,55,48,55,55
88,55,55,48,55,55
89,55,55,48,55,55
90,56,56,48,56,56
91,56,56,49,56,56
92,56,56,49,56,56
93,56,56,49,56,56
94,56,56,49,56,56
95,56,56,49,56,56
96,56,56,49,56,56
97,56,56,49,56,56
98,57,57,49,57,57
99,57,57,49,57,57
100,57,57,49,57,57
101,57,57,50,57,57
102,57,57,50,57,57
103,57,57,50,57,57
104,57,57,50,57,57
105,57,57,50,57,57
106,58,58,50,58,58
107,58,58,50,58,58
108,58,58,50,58,58
109,58,58,50,58,58
110,58,58,50,58,58
111,58,58,51,58,58
112,58,58,51,58,58
113,58,58,51,58,58
114,59,59,51,59,59
115,59,59,51,59,59
116,59,59,51,59,59
117,59,59,51,59,59
118,59,59,51,59,59
119,59,59,51,59,59
120,59,59,51,59,59
121,59,59,52,59,59
122,60,60,52,60,60
123,60,60,52,60,60
124,60,60,52,60,60
125,60,60,52,60,60
126,60,60,52,60,60
127,60,60,52,60,60
128,60,60,52,60,60
129,60,60,52,60,60
130,61,61,52,61,61
131,61,61,53,61,61
132,61,61,53,61,61
133,61,61,53,61,61
134,61,61,53,61,61
135,61,61,53,61,61
136,61,61,53,61,61
137,61,61,53,61,61
138,62,62,53,62,62
139,62,62,53,62,62
140,62,62,53,62,62
141,62,62,54,62,62
142,62,62,54,62,62
143,62,62,54,62,62
144,62,62,54,62,62
145,62,62,54,62,62
146,63,63,54,63,63
147,63,63,54,63,63
148,63,63,54,63,63
149,63,63,54,63,63
150,63,63,54,63,63
151,63,63,55,63,63
152,63,63,55,63,63
153,63,63,55,63,63
154,64,64,55,64,64
155,64,64,55,64,64
156,64,64,55,64,64
157,64,64,55,64,64
158,64,64,55,64,64
159,64,64,55,64,64
160,64,64,55,64,64
161,64,64,56,64,64
162,65,65,56,65,65
163,65,65,56,65,65
164,65,65,56,65,65
165,65,65,56,65,65
166,65,65,56,65,65
167,65,65,56,65,65
168,65,65,56,65,65
169,65,65,56,65,65
170,66,66,56,66,66
171,66,66,57,66,66
172,66,66,57,66,66
173,66,66,57,66,66
174,66,66,57,66,66
175,66,66,57,66,66
176,66,66,57,66,66
177,66,66,57,66,66
178,67,67,57,67,67
179,67,67,57,67,67
180,67,67,57,67,67
181,67,67,58,67,67
182,67,67,58,67,67
183,67,67,58,67,67
184,67,67,58,67,67
185,67,67,58,67,67
186,68,68,58,68,68
187,68,68,58,68,68
188,68,68,58,68,68
189,68,68,58,68,68
190,68,68,58,68,68
191,68,68,59,68,68
192,68,68,59,68,68
193,68,68,59,68,68
194,69,69,59,69,69
195,69,69,59,69,69
196,69,69,59,69,69
197,69,69,59,69,69
198,69,69,59,69,69
199,69,69,59,69,69
200,69,69,59,69,69
201,69,69,60,69,69
202,70,70,60,70,70
203,70,70,60,70,70
204,70,70,60,70,70
205,70,70,60,70,70
206,70,70,60,70,70
207,70,70,60,70,70
208,70,70,60,70,70
209,70,70,60,70,70
210,71,71,60,71,71
211,71,71,61,71,71
212,71,71,61,71,71
213,71,71,61,71,71
214,71,71,61,71,71
215,71,71,61,71,71
216,71,71,61,71,71
217,71,71,61,71,71
218,72,72,61,72,72
219,72,72,61,72,72
220,72,72,61,72,72
221,72,72,62,72,72
222,72,72,62,72,72
223,72,72,62,72,72
224,72,72,62,72,72
225,72,72,62,72,72
226,73,73,62,73,73
227,73,73,62,73,73
228,73,73,62,73,73
229,73,73,62,73,73
230,73,73,62,73,73
231,73,73,63,73,73
232,73,73,63,73,73
233,73,73,63,73,73
234,74,74,63,74,74
235,74,74,63,74,74
236,74,74,63,74,74
237,74,74,63,74,74
238,74,74,63,74,74
239,74,74,63,74,74
240,74,74,63,74,74
241,74,74,64,74,74
242,75,75,64,75,75
243,75,75,64,75,75
244,75,75,64,75,75
245,75,75,64,75,75
246,75,75,64,75,75
247,75,75,64,75,75
248,75,75,64,75,75
249,75,75,64,75,75
250,76,76,64,76,76
251,76,76,65,76,76
252,76,76,65,76,76
253,76,76,65,76,76
254,76,76,65,76,76
255,76,76,65,76,76
256,76,76,65,76,76
257,76,76,65,76,76
258,77,77,65,77,77
259,77,77,65,77,77
260,77,77,65,77,77
261,77,77,66,77,77
262,77,77,66,77,77
263,77,77,66,77,77
264,77,77,66,77,77
265,77,77,66,77,77
266,78,78,66,78,78
267,78,78,66,78,78
268,78,78,66,78,78
269,78,78,66,78,78
270,78,78,66,78,78
271,78,78,67,78,78
272,78,78,67,78,78
273,78,78,67,78,78
274,79,79,67,79,79
275,79,79,67,79,79
276,79,79,67,79,79
277,79,79,67,79,79
278,79,79,67,79,79
279,79,79,67,79,79
280,79,79,67,79,79
281,79,79,68,79,79
282,80,80,68,80,80
283,80,80,68,80,80
284,80,80,68,80,80
285,80,80,68,80,80
286,80,80,68,80,80
287,80,80,68,80,80
288,80,80,68,80,80
289,80,80,68,80,80
290,81,81,68,81,81
291,81,81,69,81,81
292,81,81,69,81,81
293,81,81,69,81,81
294,81,81,69,81,81
295,81,81,69,81,81
296,81,81,69,81,81
297,81,81,69,81,81
298,82,82,69,82,82
299,82,82,69,82,82
300,82,82,69,82,82
301,82,82,70,82,82
302,82,82,70,82,82
303,82,82,70,82,82
304,82,82,70,82,82
305,82,82,70,82,82
306,83,83,70,83,83
307,83,83,70,83,83
308,83,83,70,83,83
309,83,83,70,83,83
310,83,83,70,83,83
311,83,83,71,83,83
312,83,83,71,83,83
313,83,83,71,83,83
314,84,84,71,84,84
315,84,84,71,84,84
316,84,84,71,84,84
317,84,84,71,84,84
318,84,84,71,84,84
319,84,84,71,84,84
320,84,84,71,84,84
321,84,84,72,84,84
322,85,85,72,85,85
323,85,85,72,85,85
324,85,85,72,85,85
325,85,85,72,85,85
326,85,85,72,85,85
327,85,85,72,85,85
328,85,85,72,85,85
329,85,85,72,85,85
330,86,86,72,86,86
331,86,86,73,86,86
332,86,86,73,86,86
333,86,86,73,86,86
334,86,86,73,86,86
335,86,86,73,86,86
336,86,86,73,86,86
337,86,86,73,86,86
338,87,87,73,87,87
339,87,87,73,87,87
340,87,87,73,87,87
341,87,87,74,87,87
342,87,87,74,87,87
343,87,87,74,87,87
344,87,87,74,87,87
345,87,87,74,87,87
346,88,88,74,88,88
347,88,88,74,88,88
348,88,88,74,88,88
349,88,88,74,88,88
350,88,88,74,88,88
351,88,88,75,88,88
352,88,88,75,88,88
353,88,88,75,88,88
354,89,89,75,89,89
355,89,89,75,89,89
356,89,89,75,89,89
357,89,89,75,89,89
358,89,89,75,89,89
359,89,89,75,89,89
360,89,89,75,89,89
361,89,89,76,89,89
362,90,90,76,90,90
363,90,90,76,90,90
364,90,90,76,90,90
365,90,90,76,90,90
366,90,90,76,90,90
