id,present_category,outline_image,tier_name,rank,target1,amount1,target2,amount
string,category_001,string,string,int,string,float,string,float
upgrade_0,category_001,img_outline_gray,미강화,0,fame,0,-,-
upgrade_1,category_001,image_outline_white,노멀,1,fame,5,-,-
upgrade_2,category_001,image_outline_white,노멀+,2,fame,10,-,-
upgrade_3,category_001,image_outline_green,언커먼,3,fame,10,-,-
upgrade_4,category_001,image_outline_green,언커먼+,4,fame,10,-,-
upgrade_5,category_001,image_outline_blue,레어,5,fame,15,-,-
upgrade_6,category_001,image_outline_blue,레어+,6,fame,15,-,-
upgrade_7,category_001,image_outline_purple,에픽,7,fame,15,-,-
upgrade_8,category_001,image_outline_purple,에픽+,8,fame,15,-,-
upgrade_9,category_001,image_outline_orange,레전더리,9,fame,15,-,-
upgrade_10,category_001,image_outline_orange,레전더리+,10,fame,15,-,-
upgrade_11,category_001,image_outline_red,미스틱,11,fame,20,-,-
upgrade_12,category_001,image_outline_red,미스틱+,12,fame,20,-,-
upgrade_13,category_001,image_outline_rainbow,얼티밋,13,fame,20,-,-
upgrade_14,category_001,image_outline_rainbow,얼티밋+,14,fame,20,-,-
upgrade_over_14,category_001,image_outline_rainbow,얼티밋+,14,monthly_grant ,1.1,-,-
upgrade_0,category_002,img_outline_gray,미강화,0,experience,0,-,-
upgrade_1,category_002,image_outline_white,노멀,1,experience,1.05,-,-
upgrade_2,category_002,image_outline_white,노멀+,2,experience,1.15,-,-
upgrade_3,category_002,image_outline_green,언커먼,3,experience,1.25,-,-
upgrade_4,category_002,image_outline_green,언커먼+,4,experience,1.35,-,-
upgrade_5,category_002,image_outline_blue,레어,5,experience,1.45,-,-
upgrade_6,category_002,image_outline_blue,레어+,6,experience,1.6,-,-
upgrade_7,category_002,image_outline_purple,에픽,7,experience,1.65,-,-
upgrade_8,category_002,image_outline_purple,에픽+,8,experience,1.7,-,-
upgrade_9,category_002,image_outline_orange,레전더리,9,experience,1.75,-,-
upgrade_10,category_002,image_outline_orange,레전더리+,10,experience,1.8,-,-
upgrade_11,category_002,image_outline_red,미스틱,11,experience,1.85,-,-
upgrade_12,category_002,image_outline_red,미스틱+,12,experience,1.9,-,-
upgrade_13,category_002,image_outline_rainbow,얼티밋,13,experience,1.95,-,-
upgrade_14,category_002,image_outline_rainbow,얼티밋+,14,experience,2,-,-
upgrade_over_14,category_002,image_outline_rainbow,얼티밋+,14,monthly_grant ,1.1,-,-
upgrade_0,category_003,img_outline_gray,미강화,0,condition_efficiency,1,jump,0
upgrade_1,category_003,image_outline_white,노멀,1,condition_efficiency,0.95,jump,0
upgrade_2,category_003,image_outline_white,노멀+,2,condition_efficiency,0.95,jump,0
upgrade_3,category_003,image_outline_green,언커먼,3,condition_efficiency,0.94,jump,0
upgrade_4,category_003,image_outline_green,언커먼+,4,condition_efficiency,0.93,jump,0
upgrade_5,category_003,image_outline_blue,레어,5,condition_efficiency,0.92,jump,0
upgrade_6,category_003,image_outline_blue,레어+,6,condition_efficiency,0.91,jump,0
upgrade_7,category_003,image_outline_purple,에픽,7,condition_efficiency,0.91,jump,0
upgrade_8,category_003,image_outline_purple,에픽+,8,condition_efficiency,0.9,jump,0
upgrade_9,category_003,image_outline_orange,레전더리,9,condition_efficiency,0.89,jump,0
upgrade_10,category_003,image_outline_orange,레전더리+,10,condition_efficiency,0.88,jump,0
upgrade_11,category_003,image_outline_red,미스틱,11,condition_efficiency,0.87,jump,1
upgrade_12,category_003,image_outline_red,미스틱+,12,condition_efficiency,0.86,jump,2
upgrade_13,category_003,image_outline_rainbow,얼티밋,13,condition_efficiency,0.85,jump,3
upgrade_14,category_003,image_outline_rainbow,얼티밋+,14,condition_efficiency,0.85,jump,4
upgrade_over_14,category_003,image_outline_rainbow,얼티밋+,14,monthly_grant ,1.1,jump,0
