id,choice_name,target,target_num,description,effect_description,effect1,effect2,effect3
string,string,enum,int,string,string,string,string,string
match_choice_001,name_match_choice_001,1,5,description_match_choice_001,effect_description_match_choice_001,event_effect_1_condition_m5,-,-
match_choice_002,name_match_choice_002,1,5,description_match_choice_002,effect_description_match_choice_002,event_effect_2_randomPlayerStat_p10,,
match_choice_003,name_match_choice_003,3,5,description_match_choice_003,effect_description_match_choice_003,event_effect_1_money_m5,event_effect_1_randomplayerStat_p5,-
match_choice_004,name_match_choice_004,1,5,description_match_choice_004,effect_description_match_choice_004,event_effect_1_shoot_p10,event_effect_1_speed_p10,event_effect_1_jump_p10
match_choice_005,name_match_choice_005,1,5,description_match_choice_005,effect_description_match_choice_005,event_effect_1_shoot_p5,event_effect_1_speed_p5,event_effect_1_jump_p5
match_choice_006,name_match_choice_006,1,5,description_match_choice_006,effect_description_match_choice_006,event_effect_2_vital_p5,event_effect_1_condition_p5,-
match_choice_007,name_match_choice_007,1,5,description_match_choice_007,effect_description_match_choice_007,event_effect_1_condition_p10,-,-
match_choice_008,name_match_choice_008,3,5,description_match_choice_008,effect_description_match_choice_008,event_effect_1_money_m10,event_effect_2_vital_p10,event_effect_1_condition_p10
match_choice_009,name_match_choice_009,1,5,description_match_choice_009,effect_description_match_choice_009,event_effect_1_condition_m5,event_effect_1_shoot_p5,event_effect_1_speed_p5
match_choice_010,name_match_choice_010,1,5,description_match_choice_010,effect_description_match_choice_010,event_effect_2_randomPlayerStat_p10,-,-
