ID,message_index,message_dialogue,next,is_choice,choice1_dialogue,choice1_next,choice2_dialogue,choice2_next,choice3_dialogue,choice3_next,sudden_event
string,string,string,string,bool,string,string,string,string,string,string,string
diag_000001,index_000,text_diag_000001_000,index_001,FALSE,-,-,-,-,-,-,-
diag_000001,index_001,text_diag_000001_001,index_002,FALSE,-,-,-,-,-,-,-
diag_000001,index_002,text_diag_000001_002,index_003,FALSE,-,-,-,-,-,-,-
diag_000001,index_003,text_diag_000001_003,index_004,FALSE,-,-,-,-,-,-,-
diag_000001,index_004,text_diag_000001_004,index_005,FALSE,-,-,-,-,-,-,-
diag_000001,index_005,text_diag_000001_005,index_006,FALSE,-,-,-,-,-,-,-
diag_000001,index_006,text_diag_000001_006,index_007,FALSE,-,-,-,-,-,-,-
diag_000001,index_007,text_diag_000001_007,-,TRUE,text_diag_000001_008,index_008,text_diag_000001_018,index_017,text_diag_000001_027,index_025,-
diag_000001,index_008,text_diag_000001_009,index_009,FALSE,-,-,-,-,-,-,-
diag_000001,index_009,text_diag_000001_010,index_010,FALSE,-,-,-,-,-,-,-
diag_000001,index_010,text_diag_000001_011,index_011,FALSE,-,-,-,-,-,-,-
diag_000001,index_011,text_diag_000001_012,index_012,FALSE,-,-,-,-,-,-,-
diag_000001,index_012,text_diag_000001_013,index_013,FALSE,-,-,-,-,-,-,-
diag_000001,index_013,text_diag_000001_014,index_014,FALSE,-,-,-,-,-,-,-
diag_000001,index_014,text_diag_000001_015,index_015,FALSE,-,-,-,-,-,-,-
diag_000001,index_015,text_diag_000001_016,index_016,FALSE,-,-,-,-,-,-,-
diag_000001,index_016,text_diag_000001_017,END,FALSE,-,-,-,-,-,-,event_000009
diag_000001,index_017,text_diag_000001_019,index_018,FALSE,-,-,-,-,-,-,-
diag_000001,index_018,text_diag_000001_020,index_019,FALSE,-,-,-,-,-,-,-
diag_000001,index_019,text_diag_000001_021,index_020,FALSE,-,-,-,-,-,-,-
diag_000001,index_020,text_diag_000001_022,index_021,FALSE,-,-,-,-,-,-,-
diag_000001,index_021,text_diag_000001_023,index_022,FALSE,-,-,-,-,-,-,-
diag_000001,index_022,text_diag_000001_024,index_023,FALSE,-,-,-,-,-,-,-
diag_000001,index_023,text_diag_000001_025,index_024,FALSE,-,-,-,-,-,-,-
diag_000001,index_024,text_diag_000001_026,END,FALSE,-,-,-,-,-,-,event_000022
diag_000001,index_025,text_diag_000001_028,index_026,FALSE,-,-,-,-,-,-,-
diag_000001,index_026,text_diag_000001_029,index_027,FALSE,-,-,-,-,-,-,-
diag_000001,index_027,text_diag_000001_030,END,FALSE,-,-,-,-,-,-,event_000010
diag_000002,index_000,text_diag_000002_000,index_001,FALSE,-,-,-,-,-,-,-
diag_000002,index_001,text_diag_000002_001,index_002,FALSE,-,-,-,-,-,-,-
diag_000002,index_002,text_diag_000002_002,index_003,FALSE,-,-,-,-,-,-,-
diag_000002,index_003,text_diag_000002_003,index_004,FALSE,-,-,-,-,-,-,-
diag_000002,index_004,text_diag_000002_004,index_005,FALSE,-,-,-,-,-,-,-
diag_000002,index_005,text_diag_000002_005,index_006,FALSE,-,-,-,-,-,-,-
diag_000002,index_006,text_diag_000002_006,index_007,FALSE,-,-,-,-,-,-,-
diag_000002,index_007,text_diag_000002_007,index_008,FALSE,-,-,-,-,-,-,-
diag_000002,index_008,text_diag_000002_008,index_009,FALSE,-,-,-,-,-,-,-
diag_000002,index_009,text_diag_000002_009,index_010,FALSE,-,-,-,-,-,-,-
diag_000002,index_010,text_diag_000002_010,END,FALSE,-,-,-,-,-,-,-
diag_000003,index_000,text_diag_000003_000,index_001,FALSE,-,-,-,-,-,-,-
diag_000003,index_001,text_diag_000003_001,index_002,FALSE,-,-,-,-,-,-,-
diag_000003,index_002,text_diag_000003_002,index_003,FALSE,-,-,-,-,-,-,-
diag_000003,index_003,text_diag_000003_003,index_004,FALSE,-,-,-,-,-,-,-
diag_000003,index_004,text_diag_000003_004,index_005,FALSE,-,-,-,-,-,-,-
diag_000003,index_005,text_diag_000003_005,-,TRUE,text_diag_000003_006,index_006,text_diag_000003_009,index_008,-,-,-
diag_000003,index_006,text_diag_000003_007,index_007,FALSE,-,-,-,-,-,-,-
diag_000003,index_007,text_diag_000003_008,END,FALSE,-,-,-,-,-,-,event_000019
diag_000003,index_008,text_diag_000003_010,index_009,FALSE,-,-,-,-,-,-,-
diag_000003,index_009,text_diag_000003_011,index_010,FALSE,-,-,-,-,-,-,-
diag_000003,index_010,text_diag_000003_012,index_011,FALSE,-,-,-,-,-,-,-
diag_000003,index_011,text_diag_000003_013,index_012,FALSE,-,-,-,-,-,-,-
diag_000003,index_012,text_diag_000003_014,END,FALSE,-,-,-,-,-,-,event_000020
diag_000004,index_000,text_diag_000004_000,index_001,FALSE,-,-,-,-,-,-,-
diag_000004,index_001,text_diag_000004_001,index_002,FALSE,-,-,-,-,-,-,-
diag_000004,index_002,text_diag_000004_002,index_003,FALSE,-,-,-,-,-,-,-
diag_000004,index_003,text_diag_000004_003,index_004,FALSE,-,-,-,-,-,-,-
diag_000004,index_004,text_diag_000004_004,index_005,FALSE,-,-,-,-,-,-,-
diag_000004,index_005,text_diag_000004_005,index_006,FALSE,-,-,-,-,-,-,-
diag_000004,index_006,text_diag_000004_006,index_007,FALSE,-,-,-,-,-,-,-
diag_000004,index_007,text_diag_000004_007,index_008,FALSE,-,-,-,-,-,-,-
diag_000004,index_008,text_diag_000004_008,-,TRUE,text_diag_000004_009,index_009,text_diag_000004_014,index_013,-,-,-
diag_000004,index_009,text_diag_000004_010,index_010,FALSE,-,-,-,-,-,-,-
diag_000004,index_010,text_diag_000004_011,index_011,FALSE,-,-,-,-,-,-,-
diag_000004,index_011,text_diag_000004_012,END,FALSE,-,-,-,-,-,-,event_000005
diag_000004,index_013,text_diag_000004_014,index_014,FALSE,-,-,-,-,-,-,-
diag_000004,index_014,text_diag_000004_015,END,FALSE,-,-,-,-,-,-,event_000010
diag_000005,index_000,text_diag_000005_000,index_001,FALSE,-,-,-,-,-,-,-
diag_000005,index_001,text_diag_000005_001,-,TRUE,text_diag_000005_002,index_002,text_diag_000005_011,index_010,text_diag_000005_018,index_016,-
diag_000005,index_002,text_diag_000005_003,index_003,FALSE,-,-,-,-,-,-,-
diag_000005,index_003,text_diag_000005_004,index_004,FALSE,-,-,-,-,-,-,-
diag_000005,index_004,text_diag_000005_005,index_005,FALSE,-,-,-,-,-,-,-
diag_000005,index_005,text_diag_000005_006,index_006,FALSE,-,-,-,-,-,-,-
diag_000005,index_006,text_diag_000005_007,index_007,FALSE,-,-,-,-,-,-,-
diag_000005,index_007,text_diag_000005_008,index_008,FALSE,-,-,-,-,-,-,-
diag_000005,index_008,text_diag_000005_009,index_009,FALSE,-,-,-,-,-,-,-
diag_000005,index_009,text_diag_000005_010,END,FALSE,-,-,-,-,-,-,event_000017
diag_000005,index_010,text_diag_000005_012,index_011,FALSE,-,-,-,-,-,-,-
diag_000005,index_011,text_diag_000005_013,index_012,FALSE,-,-,-,-,-,-,-
diag_000005,index_012,text_diag_000005_014,index_013,FALSE,-,-,-,-,-,-,-
diag_000005,index_013,text_diag_000005_015,index_014,FALSE,-,-,-,-,-,-,-
diag_000005,index_014,text_diag_000005_016,index_015,FALSE,-,-,-,-,-,-,-
diag_000005,index_015,text_diag_000005_017,END,FALSE,-,-,-,-,-,-,event_000009
diag_000005,index_016,text_diag_000005_019,index_017,FALSE,-,-,-,-,-,-,-
diag_000005,index_017,text_diag_000005_020,index_018,FALSE,-,-,-,-,-,-,-
diag_000005,index_018,text_diag_000005_021,index_019,FALSE,-,-,-,-,-,-,-
diag_000005,index_019,text_diag_000005_022,index_020,FALSE,-,-,-,-,-,-,-
diag_000005,index_020,text_diag_000005_023,index_021,FALSE,-,-,-,-,-,-,-
diag_000005,index_021,text_diag_000005_024,index_022,FALSE,-,-,-,-,-,-,-
diag_000005,index_022,text_diag_000005_025,index_023,FALSE,-,-,-,-,-,-,-
diag_000005,index_023,text_diag_000005_026,index_024,FALSE,-,-,-,-,-,-,-
diag_000005,index_024,text_diag_000005_027,index_025,FALSE,-,-,-,-,-,-,-
diag_000005,index_025,text_diag_000005_028,END,FALSE,-,-,-,-,-,-,-
diag_000006,index_000,text_diag_000006_000,index_001,FALSE,-,-,-,-,-,-,-
diag_000006,index_001,text_diag_000006_001,index_002,FALSE,-,-,-,-,-,-,-
diag_000006,index_002,text_diag_000006_002,index_003,FALSE,-,-,-,-,-,-,-
diag_000006,index_003,text_diag_000006_003,index_004,FALSE,-,-,-,-,-,-,-
diag_000006,index_004,text_diag_000006_004,-,TRUE,text_diag_000006_005,index_005,text_diag_000006_011,index_010,text_diag_000006_022,index_020,-
