id,name,context,condition,category,scope,target_min,target_max,term_min,term_max,is_trigger,trigger_status1,trigger_condition1,trigger_threshold1,trigger_status2,trigger_condition2,trigger_threshold2,term_scale,effect1,effect2,effect3,is_probable,probability,description
string,string,enum,enum,enum,enum,int,int,int,int,bool,enum,enum,int,enum,enum,int,enum,string,string,string,bool,float,string
event_000001,멘탈 강화,PostProcess,School,Positive | Mind,Member,1,1,0,0,FALSE,none,none,-1,none,none,-1,none,event_effect_1_mental_p5,-,-,FALSE,1,text_SuddenEvent_000001
event_000002,멘탈 약화,PostProcess,School,Negative | Mind,Member,1,1,0,0,FALSE,none,none,-1,none,none,-1,none,event_effect_1_mental_m5,-,-,FALSE,1,text_SuddenEvent_000002
event_000003,슈팅 강화,PostProcess,School,Positive | Body,Member,1,1,0,0,FALSE,none,none,-1,none,none,-1,none,event_effect_1_shoot_p5,-,-,FALSE,1,text_SuddenEvent_000001
event_000004,슈팅 약화,PostProcess,School,Negative | Body,Member,1,1,0,0,FALSE,none,none,-1,none,none,-1,none,event_effect_1_shoot_m5,-,-,FALSE,1,text_SuddenEvent_000002
event_000005,스피드 강화,PostProcess,School,Positive | Body,Member,1,1,0,0,FALSE,none,none,-1,none,none,-1,none,event_effect_1_speed_p5,-,-,FALSE,1,text_SuddenEvent_000001
event_000006,스피드 약화,PostProcess,School,Negative | Body,Member,1,1,0,0,FALSE,none,none,-1,none,none,-1,none,event_effect_1_speed_m5,-,-,FALSE,1,text_SuddenEvent_000002
event_000007,점프 성장,PostProcess,School,Positive | Body,Member,1,1,0,0,FALSE,none,none,-1,none,none,-1,none,event_effect_1_jump_p5,-,-,FALSE,1,text_SuddenEvent_000001
event_000008,점프 약화,PostProcess,School,Negative | Body,Member,1,1,0,0,FALSE,none,none,-1,none,none,-1,none,event_effect_1_jump_m5,-,-,FALSE,1,text_SuddenEvent_000002
event_000009,컨디션 증가,PostProcess,School,Positive | Body | Mind,Member,1,1,0,0,FALSE,none,none,-1,none,none,-1,none,event_effect_1_condition_p5,-,-,FALSE,1,text_SuddenEvent_000001
