id,condition,target,speaker,description
string,enum,int,string,string
text_SuddenEvent_000001,Daily,1,[SYSTEM],{effect1.target_name} {effect1.amount} 증가
text_SuddenEvent_000001,Daily,2,[SYSTEM],{effect1.target_name} {effect1.amount} 증가
text_SuddenEvent_000001,Daily,3,[SYSTEM],{effect1.target_name} {effect1.amount} 증가
text_SuddenEvent_000002,Daily,1,[SYSTEM],{effect1.target_name} {effect1.amount} 감소
text_SuddenEvent_000002,Daily,2,[SYSTEM],{effect1.target_name} {effect1.amount} 감소
text_SuddenEvent_000002,Daily,3,[SYSTEM],{effect1.target_name} {effect1.amount} 감소
text_SuddenEvent_000003,Daily,1,[SYSTEM],{effect1.amount} {effect1.target_name} 획득
text_SuddenEvent_000004,Daily,1,[SYSTEM],{effect1.amount} {effect1.target_name} 사용
text_SuddenEvent_000005,Match,1,[SYSTEM],{target1.name}이(가) 부담감을 느낀다...\n<color=grey>{target1.name} {effect1.target_name} {effect1.amount}<\color>
text_SuddenEvent_000005,Match,2,[SYSTEM],"학생들이(가) 부담감을 느낀다...\n<color=grey>{target1.name}, {target2.name} {effect1.target_name} {effect1.amount}<\color>"
text_SuddenEvent_000005,Match,3,[SYSTEM],"학생들이(가) 부담감을 느낀다...\n<color=grey>{target1.name}, {target2.name}, {target3.name} {effect1.target_name} {effect1.amount}<\color>"
text_SuddenEvent_000005,Match,4,[SYSTEM],"학생들이(가) 부담감을 느낀다...\n<color=grey>{target1.name}, {target2.name}, {target3.name}, {target4.name} {effect1.target_name} {effect1.amount}<\color>"
text_SuddenEvent_000005,Match,5,[SYSTEM],학생들이(가) 부담감을 느낀다...\n<color=grey> 전원 {effect1.target_name} {effect1.amount}<\color>
text_SuddenEvent_000006,Match,1,[SYSTEM],{target1.name} {term} 일 입원
text_SuddenEvent_000006,Match,2,[SYSTEM],"{target1.name}, {target2.name} {term} 일 입원"
text_SuddenEvent_000007,Daily,1,[SYSTEM],대화가 종료되었습니다.
text_SuddenEvent_000008,Daily,20,[SYSTEM],"팀 {effect1.target_name} {effect1.amount} 증가, 훈련 효율 {effect2.amount} 증가"
text_SuddenEvent_000009,Daily,1,[SYSTEM],"{effect1.target_name} {effect1.amount} 증가, {effect2.target_name} {effect2.amount} 증가, {effect3.target_name} {effect3.amount} 감소"
text_SuddenEvent_000010,Daily,1,[SYSTEM],상태이상 회복
text_SuddenEvent_000011,Daily,1,[SYSTEM],"{effect1.target_name} {effect1.amount} 증가, {effect2.target_name} {effect2.amount} 증가"
text_SuddenEvent_000012,Daily,20,[SYSTEM],팀 {effect1.target_name} {effect1.amount} 증가
text_SuddenEvent_000013,Daily,20,[SYSTEM],팀 {effect1.target_name} {effect1.amount} 감소
text_SuddenEvent_000014,Daily,20,[SYSTEM],"팀 {effect1.target_name} {effect1.amount} 증가, {effect2.target_name} {effect2.amount} 증가"
text_SuddenEvent_000015,Daily,20,[SYSTEM],"팀 {effect1.target_name} {effect1.amount} 증가, {effect2.target_name} {effect2.amount} 증가, {effect3.target_name} {effect3.amount} 감소"
text_SuddenEvent_100001,Daily,1,[SYSTEM],{term} 일 입원(훈련 및 출전 불가)
